Dieu du Ciel Péché Mortel Bourbon Imperial Stout,9.5,4.18,99,317,Stout
Dieu du Ciel Péché Mortel Imperial Stout,9.5,4.15,99,2170,Stout
Dieu du Ciel Aphrodisiaque Stout,6.5,4.05,100,1337,Stout
Dieu du Ciel Péché Mortel Brandy/Cognac Imperial Stout,9.5,4.03,97,38,Stout
Dieu du Ciel Péché Mortel Édition Spéciale 2016 Imperial Stout,9.9,3.98,95,35,Stout
Dieu du Ciel Grande Noirceur Imperial Stout,9,3.98,95,513,Stout
Dieu du Ciel Solstice d’Hiver Réserve Spéciale (Oak Aged - Bourbon) Barley Wine,10.8,3.95,99,162,Barley Wine
Dieu du Ciel Solstice d’Été aux Framboises Berliner Weisse,5.9,3.93,99,351,Wheat
Dieu du Ciel / The Alchemist Moralité India Pale Ale (IPA),6.9,3.93,100,448,IPA
Dieu du Ciel Quintessence American Strong Ale,10.5,3.9,99,63,Ale
Dieu du Ciel Symbiose No.6 (2015) Sour/Wild Ale,6.5,3.9,97,27,Ale
Dieu du Ciel Equinoxe du Printemps (en fût de chêne) Scotch Ale,9.5,3.87,99,99,Ale
Dieu du Ciel Rigor Mortis Abt Abt/Quadrupel,10.5,3.86,96,924,Belgian
Dieu du Ciel L’Herbe à Détourne Abbey Tripel,10.2,3.85,100,307,Belgian
Dieu du Ciel Chemin de Croix Imperial Porter,7.5,3.85,93,183,Stout
Dieu du Ciel Péché Mortel Dry Imperial Stout,10,3.84,85,34,Stout
Dieu du Ciel Aphrodisiaque Rhum Stout,6.5,3.81,99,71,Stout
Dieu du Ciel Dernière Volonté en fût de Pinot Noir Belgian Ale,7.5,3.81,100,147,Belgian
Dieu du Ciel Isseki Nicho en fût de Pinot Noir Belgian Strong Ale,9.5,3.8,99,65,Belgian
Dieu du Ciel Déesse Nocturne Stout,5,3.79,99,210,Stout
Dieu du Ciel Matière Noire Imperial Stout,9,3.79,80,25,Stout
Dieu du Ciel Pionnière Black IPA,9,3.79,98,65,IPA
Dieu du Ciel Petit Détour India Pale Ale (IPA),6.5,3.79,99,68,IPA
Dieu du Ciel Immoralité Imperial IPA,9.2,3.78,94,63,IPA
Dieu du Ciel Isseki Nicho Saison,9.5,3.76,97,359,Saison
Dieu du Ciel Rigor Mortis Abt Brandy Belgian Strong Ale,10.5,3.75,97,25,Belgian
Dieu du Ciel Péché Véniel Stout,6,3.75,99,55,Stout
Dieu du Ciel Solstice d’Été aux Cerises Berliner Weisse,6.5,3.74,97,160,Wheat
Dieu du Ciel Libre Échange Foreign Stout,6.9,3.73,95,58,Stout
Dieu du Ciel Cornemuse Scotch Ale,7.5,3.73,98,60,Ale
Dieu du Ciel Exorciste aux Mûres Sour/Wild Ale,6,3.73,86,35,Ale
Dieu du Ciel Solstice d’Hiver Barley Wine,10.2,3.71,89,917,Barley Wine
Dieu du Ciel Résurrection Porter,5,3.7,98,62,Stout
Dieu du Ciel Hérétique Sour/Wild Ale,7.5,3.69,81,63,Ale
Dieu du Ciel Sainte Flanelle Imperial IPA,8,3.69,88,27,IPA
Dieu du Ciel Revenante Smoked,5,3.67,98,63,Smoked
Dieu du Ciel Dernière Volonté Belgian Ale,7,3.67,99,841,Belgian
Dieu du Ciel Péché Mortel aux Pêches Imperial Stout,9.5,3.67,54,28,Stout
Dieu du Ciel Exorciste Sour/Wild Ale,6,3.67,73,65,Ale
Dieu du Ciel Noce de Soie Saison,7,3.66,95,39,Saison
Dieu du Ciel Saison du Parc Saison,4.2,3.66,93,61,Saison
Dieu du Ciel Chaman Imperial IPA,9,3.66,81,288,IPA
Dieu du Ciel Corne du Diable India Pale Ale (IPA),6.5,3.66,95,1039,IPA
Dieu du Ciel Équinoxe du Printemps Scotch Ale,9.5,3.65,95,679,Ale
Dieu du Ciel Rigor Mortis Tripel Abbey Tripel,10,3.65,98,72,Belgian
Dieu du Ciel Wallonade Belgian Ale,4,3.64,99,66,Ale
Dieu du Ciel Disco Soleil India Pale Ale (IPA),6.5,3.64,94,354,Ale
Dieu du Ciel 6e Soir en fût de Pinot Noir Imperial Pils/Strong Pale Lager,9,3.64,98,36,Lager
Dieu du Ciel Genèse Triple Abricot Belgian Strong Ale,8.5,3.62,92,44,Ale
Dieu du Ciel Pénombre Black IPA,6.5,3.61,84,382,IPA
Dieu du Ciel Blanche Neige Belgian Strong Ale,8.3,3.61,92,170,Ale
Dieu du Ciel Dernière Volonté Brettanomyces Sour/Wild Ale,7,3.6,64,68,Ale
Dieu du Ciel Mosaika American Pale Ale,5.5,3.6,96,50,Ale
Dieu du Ciel Équinoxe d’Automne Smoked,7.5,3.6,94,38,Smoked
Dieu du Ciel L’Or Des Marais Saison,6.5,3.59,90,43,Saison
Dieu du Ciel Baraque American Pale Ale,5.1,3.57,95,40,Ale
Dieu du Ciel Charbonnière Smoked,5.5,3.57,93,236,Smoked
Dieu du Ciel Hérétique Obscura Sour/Wild Ale,9,3.56,54,27,Ale
Dieu du Ciel Blanche du Paradis Witbier,5.5,3.56,99,389,Wheat
Dieu du Ciel Corpus Christi American Pale Ale,6,3.54,94,74,Ale
Dieu du Ciel Solstice d’Été à la Mangue Berliner Weisse,6,3.54,79,31,Wheat
Dieu du Ciel Rigor Mortis Double Abbey Dubbel,7,3.53,96,48,Belgian
Dieu du Ciel 6e Soir Imperial Pils/Strong Pale Lager,8.5,3.53,97,107,Lager
Dieu du Ciel Hors Saison Saison,6.5,3.53,83,43,Saison
Dieu du Ciel Sieben Hügel Smoked,4.9,3.53,90,38,Smoked
Dieu du Ciel Lanterne Rouge Bitter,3.5,3.53,100,27,Ale
Dieu du Ciel Caserne 30 Smoked,5.7,3.53,89,67,Smoked
Dieu du Ciel Brise-Vent Saison,6.1,3.52,82,34,Saison
Dieu du Ciel Première Neige Witbier,5,3.52,99,27,Wheat
Dieu du Ciel Nativité Blonde German Hefeweizen,5,3.51,99,42,Wheat
Dieu du Ciel Voyageur des Brumes Premium Bitter/ESB,5,3.5,99,113,Ale
Dieu du Ciel Mea Culpa India Pale Ale (IPA),6,3.5,81,87,IPA
Dieu du Ciel Rescousse Altbier,5.3,3.49,97,310,Wheat
Dieu du Ciel / Trou du Diable La Divine Comédie Pilsener,5.4,3.49,99,90,Lager
Dieu du Ciel Rigor Mortis Blonde Belgian Ale,6,3.47,95,95,Belgian
Dieu du Ciel Vaisseau des Songes India Pale Ale (IPA),5,3.46,72,114,IPA
Dieu du Ciel Rosée d’Hibiscus Spice/Herb/Vegetable,5.9,3.45,94,913,Lager
