name,accent,style,abv,rating,style.rating,n.obs,month,year
Péché Mortel,1,Stout,9.5,4.14,99,2305,9,2002
Aphrodisiaque ,0,Stout,6.5,4.04,100,1422,8,2003
Corne du Diable,0,IPA,6.5,3.66,95,1051,2,2004
Rigor Mortis ,0,Belgian,10.5,3.85,95,992,8,2002
Solstice d'Hiver,0,Wheat,10.2,3.7,87,979,5,2002
Rosée d'Hibiscus,1,Saison,5.9,3.45,94,957,5,2006
Route des Épices ,1,Saison,5,3.39,91,894,5,2002
Dernière Volonté ,1,Belgian,7,3.68,99,842,2,2004
Équinoxe du Printemps,1,Ale,9.5,3.65,94,728,5,2002
Grande Noirceur ,0,Stout,9,3.96,94,602,3,2004
Moralité,1,IPA,6.9,3.91,100,538,7,2012
Solstice d'Été aux Framboises ,1,Wheat,5.9,3.9,99,423,5,2002
Blanche du Paradis ,0,Wheat,5.5,3.56,99,415,6,2001
Disco Soleil ,0,IPA,6.5,3.63,94,411,8,2013
Isseki Nicho,0,Saison,9.5,3.76,97,407,7,2009
Pénombre IPA,1,IPA,6.5,3.61,86,392,7,2008
Péché Mortel (Bourbon),1,Stout,9.5,4.18,99,391,2,2009
L'Herbe à Détourne ,1,Belgian,10.2,3.86,100,335,5,2010
Rescousse,0,Ale,5.3,3.49,97,310,2,2011
Chaman,0,IPA,9,3.66,79,286,11,2002
Charbonnière,1,Smoked,5.5,3.57,92,235,6,2001
Chemin de Croix,0,Stout,6.3,3.82,99,233,9,2012
La Païenne,1,Ale,5.5,2.99,47,220,6,2001
Déesse Nocturne,1,Stout,5,3.79,99,207,5,2002
Fumisterie,0,Saison,5.5,3.19,67,205,1,2000
Solstice d'Été aux Cerises,1,Wheat,6.5,3.74,97,179,7,2003
Solstice d'Hiver Réserve (Oak Aged / Bourbon),1,Wheat,10.8,3.96,99,173,1,2010
Blanche Neige ,0,Belgian,8.3,3.61,92,170,10,2002
Dernière Volonté (Pinot Noir),1,Belgian,7.5,3.82,100,154,12,2009
Voyageur des Brumes,0,Ale,5,3.52,99,138,9,2002
Élixir Céleste,1,Lager,5,3.45,98,125,7,2003
Vaisseau des Songes,0,IPA,5,3.48,73,121,5,2002
Immoralité,1,IPA,9.2,3.79,94,114,11,2014
Dernière Volonté,1,Sour,7,3.66,79,108,2,2015
6e Soir ,0,Lager,8.5,3.56,97,107,12,2004
Petit Détour,1,IPA,6.5,3.74,98,106,5,2015
Équinoxe du Printemps (Fût de Chêne),1,Ale,9.5,3.86,99,104,11,2010
